TacGia,NoiDung,URLBaiViet,NgayTao,BinhLuan,TongSoBinhLuan
SkilledBison7187,"Nay ngày quốc tế im lặng hả mn nay tui nt cho ai là ng đó im lặng còn bth thì nhắn tin cho tui muốn cháy máy, r là sao nữa z
????? (Lâu lâu cái có 1 ngày ? thật:))",https://www.facebook.com/groups/mku.cfs/posts/2210421519697984/,2026-04-28T12:34:23.674Z,Người tham gia ẩn danh 183: Qte k rep gặp mặt hỏi cx k trl luon :))) | Phan Đạt: Ngủ rồi bạn ơi | SkilledBison7187: Phan Đạt là ngủ đông á hả tại từ sáng tới chiều lận:)) | Phan Đạt: SkilledBison7187 ngủ dậy ăn xong ngủ tiếp á bạn :))),4
03 nhữngconcásẽphảitrảgiá,dài quá duyệt lâu huhu,https://www.facebook.com/groups/mku.cfs/posts/2210385893034880/,2026-04-28T12:34:23.674Z,Thanh Xuânn: Fixo Junior đã he | 03 nhữngconcásẽphảitrảgiá: con gái mà vậy đó mấy cô công chúa của tôi | Thành Huyy: Hữu Đức Phát Đạt Chí Hoàng hài ác | Hoài Bảo: Đã dị | Mưa Bay: Hoài Bảo ối trời ở chung phòng với nhau mà ko có thời gian dọn vệ sinh luôn hay sao e,5
HappyFrog2308,ai đi ăn ko,https://www.facebook.com/groups/mku.cfs/posts/2210363866370416/,2026-04-28T12:34:23.674Z,Hoanq Phonqq: đi Thànhh Đạtt | Thànhh Đạtt: Hoanq Phonqq mới ăn xg | Hoanq Phonqq: Thànhh Đạtt nhờ gió gửi nắng bên anh | Người tham gia ẩn danh 880: Ăn gì bạn,4
,Mình cần tìm việc làm thêm ạ. Ưu tiên ca tối. Không biết có tính là ưu điểm không nhưng mình biết nhiều ngoại ngữ.,https://www.facebook.com/groups/mku.cfs/posts/2210326893040780/,2026-04-28T12:55:45.022Z,"TalentedRadish6139: Em biết những ngoại ngữ nào | Người tham gia ẩn danh: TalentedRadish6139 em sử dụng tốt tiếng Anh. Ngoài ra em biết tiếng Hàn và một ít tiếng Trung ạ. | Người tham gia ẩn danh: Có thể nhận kèm AV, đặc biệt là giao tiếp ạ. | Người tham gia ẩn danh: Bbbb. | Người tham gia ẩn danh: Anonymous participant lên lên lên. | Người tham gia ẩn danh: Anonymous participant 123456.",6
FunKangaroo255,"Cho em hỏi thi kết thúc học phần môn hán nôm là thi ra sao vậy ạ, có được coi tài liệu không",https://www.facebook.com/groups/mku.cfs/posts/2210308629709273/,2026-04-28T12:55:45.022Z,Người tham gia ẩn danh 209: Tháng là chữ Nôm sáng tạo trong đó bộ nguyệt chỉ nghĩa chữ thượng làm âm,1
TurquoiseNectarine3420,Cho em hỏi không kí điểm quá trình thì có thể xin kí lại sau được hay không,https://www.facebook.com/groups/mku.cfs/posts/2210238146382988/,2026-04-28T12:55:45.022Z,"Người tham gia ẩn danh 349: Tùy nha, nộp khoa r thì phải viết đơn xin để ký nha",1
,"cho em hỏi có ai pass giường hay tủ , kệ gì k ạ",https://www.facebook.com/groups/mku.cfs/posts/2210231536383649/,2026-04-28T12:55:45.022Z,BrilliantReindeer1224: Có ạ 0939 497491lh | Phạm Hạnh: Xem trang mình nec,2
,Dạ cho e hỏi mấy achi là quân sự bắt đầu học vào tầm bao nhiêu tháng 6 vậy ạ. Với lại thi xong hk2 mình có được nghỉ liền luôn hong ạ,https://www.facebook.com/groups/mku.cfs/posts/2210226049717531/,2026-04-28T12:55:45.022Z,Mưa Bay: Thi xong nếu co tkb thì học nếu ko có tkb thì nghỉ có lịch học quân sự thì chờ lịch chính thức mới biết chính xác học tầm bao nhiêu trong tháng 6 nhá e,1
Duy Khanh,"Giải bóng chuyền nội bộ ĐẠI HỌC CỬU LONG 4×4 tranh cúp K-Supper lần thứ 1
Ngày10/05/2026 (chủ nhật)
Mục đích. Giao lưu, tạo sân chơi lành mạnh cho các dân chơi
… Xem thêm",https://www.facebook.com/groups/mku.cfs/posts/2210109939729142/,2026-04-28T12:55:45.022Z,Duy Khanh: chủ nhà không có đội nha chủ yếu làm cho anh em chơi | Nguyễn Hoàng Huy: Tranh cúp khanh supper hả | Duy Khanh: Nguyễn Hoàng Huy đúng đúng,3
,mn cho hỏi chứng nhận b1 anh văn thi ôn và thi có 1tr5. làm j có người lên nói hỗ trợ rồi lấy 16 triệu là j vậy. bị ngáo hả,https://www.facebook.com/groups/mku.cfs/posts/2210212179718918/,2026-04-28T12:55:45.022Z,"Thanh Phương: b1 tiếng anh hay là b1 số tự động bằng lái xe =)) | Mưa Bay: Trường hợp này e nên báo cáo về trường về dấu hiệu lừa đảo nhá e để thầy cô có hướng giải quyết cho e tránh tình trạng sv bị mất tiền oan | Hồ Phú Thêm: Coi chừng đào lửa nha tr b1 mà 16tr thì thêm tiền học toeic hay ielts luôn dc rồi á. | Người tham gia ẩn danh 591: Coi chừng bị lừa nhé . Mình thi b1 anh văn tại trường nhẹ nhàng qua thôi ko quá khó nhé , ôn theo đề cương thầy cô cho là làm thôi . Cực cái là phải về trường thi | Người tham gia ẩn danh: Người tham gia ẩn danh 591 thì bởi z. Thi b1 mà đưa nó 16 muốn gần 3 học kì | Người tham gia ẩn danh 591: Người tham gia ẩn danh báo lại trường nha bạn . Hoặc báo công an có dấu hiệu lừa đảo chiếm đoạt tài sản",6
,"A/c kiến tập ngân hàng giải đáp giúp em với ạ.
Chuyện là em muốn kiến tập ở ngân hàng ở quê(chi nhánh huyện ạ), khi có giấy giới thiệu ở trường thì nộp xin vào ngân hàng thì có được đi kiến tập không ạ?Hay có cần thêm giấy tờ gì không ạ?
(A/c nào thực tập ở các ngân hàng Nam Á Bank, LP Bank,v.v..v(không phải MBBank ạ)giải đáp giúp em với ạ).Em KHÔNG có quen ai trong ngân hàng ạ:<<",https://www.facebook.com/groups/mku.cfs/posts/2210433759696760/,2026-04-28T14:15:28.060Z,"BronzeFish5893: Đem giay gt xin dô ngân hang la dc k cần giay j nữa | Nhu Nhu: Cứ nộp vô thôi, thực tập mà ngta nhận hết ấy | Thảo Sương: Liên hệ Thầy Đoàn nhờ thầy hướng dẫn á em, cứ liên hệ thầy cô hỏi thôi, đừng có ngại",3
Quét_cái_mã,Cần tìm gấp trọ gần dhcl sạch sẽ thoáng mát,https://www.facebook.com/groups/mku.cfs/posts/2216340025772800/,2026-05-05T14:34:28.801Z,"Moc Thuy: Sau lưng Dhcl 0939246568 | Sương Nguyễn: Liên hệ Cô Võ Thị Cẩm Thuý | Người tham gia ẩn danh 209: Bạn cần trọ khoảng bao nhiêu ấy | Người tham gia ẩn danh 311: Người tham gia ẩn danh 209 1tr5 quay đầu có kh ạ | Quốc Khanh: Người tham gia ẩn danh 311 có luôn bạn ơi phòng êm luôn | Ngọc Yến: Người tham gia ẩn danh 311 dạ bên mình còn phòng ạ , phòng kế bên đại học cửu long luôn 6",6
